Shape_Leng,Shape_Area,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM1ALT1TH,ADM1ALT2TH,ADM0_EN,ADM0_TH,ADM0_PCODE,date,validOn,validTo
8.05247464453,1.06809251007,Lampang,ลำปาง,TH52,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.80173009255,0.674675302241,Uttaradit,อุตรดิตถ์,TH53,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.21377006764,0.554130757311,Phrae,แพร่,TH54,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.75265216261,1.04507456401,Nan,น่าน,TH55,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.60511357088,0.532324093763,Phayao,พะเยา,TH56,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.99148670589,0.999021120098,Chiang Rai,เชียงราย,TH57,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
9.92350652017,1.09468248705,Mae Hong Son,แม่ฮ่องสอน,TH58,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
7.2003366198,0.801973054644,Nakhon Sawan,นครสวรรค์,TH60,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.08671773887,0.558743601234,Uthai Thani,อุทัยธานี,TH61,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.19093477123,0.723726939129,Kamphaeng Phet,กำแพงเพชร,TH62,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
13.7765853419,1.46423249199,Tak,ตาก,TH63,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.46285252012,0.567640303711,Sukhothai,สุโขทัย,TH64,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
7.34465976227,0.89288120814,Phitsanulok,พิษณุโลก,TH65,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.37820321936,0.366588123337,Phichit,พิจิตร,TH66,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
7.77825529714,1.04745367569,Phetchabun,เพชรบูรณ์,TH67,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.1754188554,0.434392163258,Ratchaburi,ราชบุรี,TH70,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
8.23196324245,1.63148638728,Kanchanaburi,กาญจนบุรี,TH71,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.48130012348,0.455791380706,Suphan Buri,สุพรรณบุรี,TH72,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
2.46303035967,0.178914199749,Nakhon Pathom,นครปฐม,TH73,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.56636891057,0.0715598323737,Samut Sakhon,สมุทรสาคร,TH74,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
1.02420164367,0.0345822294974,Samut Songkhram,สมุทรสงคราม,TH75,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.16338663718,0.515071842028,Phetchaburi,เพชรบุรี,TH76,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.41613107858,0.535179109294,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.91496467863,0.812885811298,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
8.20796754037,0.409286035615,Krabi,กระบี่,TH81,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
9.15846877996,0.336492299054,Phangnga,พังงา,TH82,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
2.92019582384,0.0449443204855,Phuket,ภูเก็ต,TH83,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
10.3066071747,1.07614383488,Surat Thani,สุราษฎร์ธานี,TH84,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.71726683514,0.27156371134,Ranong,ระนอง,TH85,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.75106526216,0.497077451404,Chumphon,ชุมพร,TH86,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.21299264529,0.633436489071,Songkhla,สงขลา,TH90,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
6.08808642393,0.235738705153,Satun,สตูล,TH91,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
5.1925703794,0.385878810043,Trang,ตรัง,TH92,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
3.25782947308,0.316268240343,Phatthalung,พัทลุง,TH93,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
2.82083047274,0.160824777215,Pattani,ปัตตานี,TH94,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
4.83923010269,0.365447770815,Yala,ยะลา,TH95,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
3.45684028956,0.366647673151,Narathiwat,นราธิวาส,TH96,,,,,,Thailand,ประเทศไทย,TH,"""2019-02-18T00:00:00.000Z""","""2022-01-22T00:00:00.000Z""","""1899-11-30T00:00:00.000Z"""
