ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION6,REGION4,DEST
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองหลัก
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Nakhon Nayok,นครนายก,TH26,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Nakhon Nayok,นครนายก,TH26,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Nakhon Nayok,นครนายก,TH26,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Nakhon Nayok,นครนายก,TH26,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Sa Kaeo,สระแก้ว,TH27,Thailand,ประเทศไทย,TH,ภาคตะวันออก,ภาคกลาง,เมืองรอง
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,เมืองหลัก
