ADM3_EN,ADM3_TH,ADM3_PCODE,ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,lat,lon
Tha Ton,ท่าตอน,TH501005,Mae Ai,แม่อาย,TH5010,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,20.082782244461953,99.43980491622551
Ban Luang,บ้านหลวง,TH501006,Mae Ai,แม่อาย,TH5010,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.871737692794376,99.34245050332336
Malika,มะลิกา,TH501007,Mae Ai,แม่อาย,TH5010,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,20.063031625232597,99.31612483157697
Wiang,เวียง,TH501101,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.377226584206127,99.20214400994553
Thung Luang,ทุ่งหลวง,TH501102,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.356776031426133,99.19581055526623
Pa Tum,ป่าตุ้ม,TH501103,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.37558358753892,99.27209956108122
Pa Nai,ป่าไหน่,TH501104,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.437687404732394,99.25881191068694
San Sai,สันทราย,TH501105,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.501369755748108,99.20564072247596
Ban Pong,บ้านโป่ง,TH501106,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.38974608797853,99.14297867302733
Nam Phrae,น้ำแพร่,TH501107,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.340498414661724,99.12784084662624
Khuean Phak,เขื่อนผาก,TH501108,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.315668723114804,99.1765773961329
Mae Waen,แม่แวน,TH501109,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.294978566179257,99.2744215339414
Mae Pang,แม่ปั๋ง,TH501110,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.213625540633622,99.21267826405142
Long Khot,โหล่งขอด,TH501111,Phrao,พร้าว,TH5011,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.08385554736523,99.2131549476536
Yu Wa,ยุหว่า,TH501201,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.61820323024136,98.87963040148176
San Klang,สันกลาง,TH501202,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.649376546582744,98.89186599809939
Tha Wang Phrao,ท่าวังพร้าว,TH501203,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.52905565647589,98.86346785961145
Makham Luang,มะขามหลวง,TH501204,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.598263381389284,98.90559323341195
Mae Ka,แม่ก๊า,TH501205,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.548338145743955,98.91215998067598
Ban Mae,บ้านแม,TH501206,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.63187329225847,98.84337974702436
Ban Klang,บ้านกลาง,TH501207,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.562475179579565,98.88170520423476
Thung Satok,ทุ่งสะโตก,TH501208,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.584368575470045,98.84965522794423
Thung Tom,ทุ่งต้อม,TH501210,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.60760652312475,98.91988805425113
Nam Bo Luang,น้ำบ่อหลวง,TH501214,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.673958840715,98.84293980955347
Makhun Wan,มะขุนหวาน,TH501215,San Pa Tong,สันป่าตอง,TH5012,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.57296467032377,98.90342254824759
San Kamphaeng,สันกำแพง,TH501301,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.744857117132444,99.10910057166925
Sai Mun,ทรายมูล,TH501302,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.739182735695938,99.1398998132163
Rong Wua Daeng,ร้องวัวแดง,TH501303,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.74902335345413,99.18152128975584
Buak Khang,บวกค้าง,TH501304,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.7035492763867,99.10519352720694
Chae Chang,แช่ช้าง,TH501305,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.722014089767054,99.14979035207085
On Tai,ออนใต้,TH501306,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.70089458297618,99.22413309470947
Mae Pu Kha,แม่ปูคา,TH501310,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.78005684510917,99.12422408942595
Huai Sai,ห้วยทราย,TH501311,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.781672745779865,99.18984508372574
Ton Pao,ต้นเปา,TH501312,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.758996051292893,99.07920791467592
San Klang,สันกลาง,TH501313,San Kamphaeng,สันกำแพง,TH5013,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.77677057880537,99.05500924278057
San Sai Luang,สันทรายหลวง,TH501401,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.857451115173372,99.0451259494622
San Sai Noi,สันทรายน้อย,TH501402,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.82621521251208,99.033644002078
San Phranet,สันพระเนตร,TH501403,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.807672876834317,99.04236452776458
San Na Meng,สันนาเม็ง,TH501404,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.84195308964917,99.06220240954372
San Pa Pao,สันป่าเปา,TH501405,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.862295192711805,99.08578830543321
Nong Yaeng,หนองแหย่ง,TH501406,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.91049505479944,99.10157136021739
Nong Chom,หนองจ๊อม,TH501407,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.8532114530776,99.02128012899283
Nong Han,หนองหาร,TH501408,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.92876785075552,99.0128148017966
Mae Faek,แม่แฝก,TH501409,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.0497016321389,99.00120732404936
Mae Faek Mai,แม่แฝกใหม่,TH501410,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.99142504828281,99.01655160984075
Mueang Len,เมืองเล็น,TH501411,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.88476420875014,99.07529585583521
Pa Phai,ป่าไผ่,TH501412,San Sai,สันทราย,TH5014,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.918176785260375,99.05346569483355
Hang Dong,หางดง,TH501501,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.689878568403557,98.91629806897409
Nong Kaeo,หนองแก๋ว,TH501502,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.667918628772686,98.93457801823365
Han Kaeo,หารแก้ว,TH501503,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.648253399708725,98.92362208408362
Nong Tong,หนองตอง,TH501504,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.61087329779277,98.94584296439729
Khun Khong,ขุนคง,TH501505,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.67199204734631,98.95431720980692
Sop Mae Kha,สบแม่ข่า,TH501506,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.682841509559598,98.97655239246723
Ban Waen,บ้านแหวน,TH501507,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.69924266063956,98.9408344889541
San Phak Wan,สันผักหวาน,TH501508,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.71569523453267,98.96226377526392
Nong Khwai,หนองควาย,TH501509,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.73001424430712,98.92332334702714
Ban Pong,บ้านปง,TH501510,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.8018423408823,98.8392789248274
Nam Phrae,น้ำแพร่,TH501511,Hang Dong,หางดง,TH5015,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.719847715474664,98.86229593165791
Hang Dong,หางดง,TH501601,Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.171530661047424,98.52738471829744
Hot,ฮอด,TH501602,Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.103207931193143,98.5837316119971
Ban Tan,บ้านตาล,TH501603,Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.099171708761524,98.71943964573956
Bo Luang,บ่อหลวง,TH501604,Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.14509131841768,98.3746406118369
Bo Sali,บ่อสลี,TH501605,Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.158614047680146,98.23984561336304
Na Kho Ruea,นาคอเรือ,TH501606,Hot,ฮอด,TH5016,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.00819975993344,98.51459707354476
Doi Tao,ดอยเต่า,TH501701,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.909311107123525,98.73341306620613
Tha Duea,ท่าเดื่อ,TH501702,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.97465218393518,98.66803270998543
Muet Ka,มืดกา,TH501703,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.87831380811118,98.58653111858713
Ban Aen,บ้านแอ่น,TH501704,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.055160256774766,98.62811122854416
Bong Tan,บงตัน,TH501705,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.020734812682743,98.65770938533781
Pong Thung,โปงทุ่ง,TH501706,Doi Tao,ดอยเต่า,TH5017,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.872660042773504,98.78214695059502
Omkoi,อมก๋อย,TH501801,Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.911347392590503,98.337620434618
Yang Piang,ยางเปียง,TH501802,Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.671087605466198,98.40434113836062
Mae Tuen,แม่ตื่น,TH501803,Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.394589254540655,98.39576671776287
Mon Chong,ม่อนจอง,TH501804,Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.44469643226884,98.50374388319788
Sop Khong,สบโขง,TH501805,Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.658683103421623,98.20995872475396
Na Kian,นาเกียน,TH501806,Omkoi,อมก๋อย,TH5018,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,17.865392077307874,98.14951630155835
Yang Noeng,ยางเนิ้ง,TH501901,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.70890932583229,99.03601839957771
Saraphi,สารภี,TH501902,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.679767152904066,99.04712653787425
Chomphu,ชมภู,TH501903,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.699248925784122,99.06471048734224
Chai Sathan,ไชยสถาน,TH501904,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.74530836238751,99.04330245877996
Khua Mung,ขัวมุง,TH501905,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.667083126921987,98.98284570526381
Nong Faek,หนองแฝก,TH501906,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.69113030887568,99.01918241889591
Nong Phueng,หนองผึ้ง,TH501907,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.735730885088383,99.02256917541466
Tha Kwang,ท่ากว้าง,TH501908,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.658358005668795,98.99826824633944
Don Kaeo,ดอนแก้ว,TH501909,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.69709136075064,98.99631210877969
Tha Wang Tan,ท่าวังตาล,TH501910,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.727870769860594,98.99840819656605
San Sai,สันทราย,TH501911,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.637195617497717,98.96835769148989
Pa Bong,ป่าบง,TH501912,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.738168220635558,99.0561604288811
Mueang Haeng,เมืองแหง,TH502001,Wiang Haeng,เวียงแหง,TH5020,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.551619035270196,98.64039759336706
Piang Luang,เปียงหลวง,TH502002,Wiang Haeng,เวียงแหง,TH5020,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.68682794233234,98.6679930687236
Saen Hai,แสนไห,TH502003,Wiang Haeng,เวียงแหง,TH5020,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.639651734233116,98.61555492516102
Pong Tam,ปงตำ,TH502101,Chai Prakan,ไชยปราการ,TH5021,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.75704469749051,99.1098997487389
Si Dong Yen,ศรีดงเย็น,TH502102,Chai Prakan,ไชยปราการ,TH5021,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.644758056569007,99.17870040691221
Mae Thalop,แม่ทะลบ,TH502103,Chai Prakan,ไชยปราการ,TH5021,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.728820500916747,99.25099070795667
Nong Bua,หนองบัว,TH502104,Chai Prakan,ไชยปราการ,TH5021,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.742865458730744,99.06604342090988
Ban Kat,บ้านกาด,TH502201,Mae Wang,แม่วาง,TH5022,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.6221466747743,98.77005262944698
Thung Pi,ทุ่งปี๊,TH502202,Mae Wang,แม่วาง,TH5022,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.58653257738645,98.75646385553219
Thung Ruang Thong,ทุ่งรวงทอง,TH502203,Mae Wang,แม่วาง,TH5022,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.56438695365355,98.83986873569174
Mae Win,แม่วิน,TH502204,Mae Wang,แม่วาง,TH5022,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.682987898608037,98.60507840751877
Don Pao,ดอนเปา,TH502205,Mae Wang,แม่วาง,TH5022,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.691036370851997,98.7765100499675
On Nuea,ออนเหนือ,TH502301,Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.801961977177555,99.31266370976276
On Klang,ออนกลาง,TH502302,Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.75270339503383,99.26222666447418
Ban Sahakon,บ้านสหกรณ์,TH502303,Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.818137628922283,99.25103084351103
Huai Kaeo,ห้วยแก้ว,TH502304,Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.880032800200652,99.3223291099192
Mae Tha,แม่ทา,TH502305,Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.59980107291246,99.28748609792956
Tha Nuea,ทาเหนือ,TH502306,Mae On,แม่ออน,TH5023,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.70337019479087,99.30944329340952
Doi Lo,ดอยหล่อ,TH502401,Doi Lo,ดอยหล่อ,TH5024,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.494328539647807,98.76799808061678
Song Khwae,สองแคว,TH502402,Doi Lo,ดอยหล่อ,TH5024,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.50364032643496,98.84172326147903
Yang Khram,ยางคราม,TH502403,Doi Lo,ดอยหล่อ,TH5024,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.556462896043783,98.78769774501828
Santi Suk,สันติสุข,TH502404,Doi Lo,ดอยหล่อ,TH5024,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.56496777738104,98.72104510548546
Ban Chan,บ้านจันทร์,TH502501,Galyani Vadhana,กัลยาณิวัฒนา,TH5025,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,19.07762776932217,98.31986915446787
Mae Daet,แม่แดด,TH502502,Galyani Vadhana,กัลยาณิวัฒนา,TH5025,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.942571834613766,98.36888279306487
Chaem Luang,แจ่มหลวง,TH502503,Galyani Vadhana,กัลยาณิวัฒนา,TH5025,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,18.976976323506538,98.2354497517897
Nai Mueang,ในเมือง,TH510101,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.580452456917776,99.00870314115734
Mueang Nga,เหมืองง่า,TH510102,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.61134895074188,99.01651107391106
Umong,อุโมงค์,TH510103,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.647302893786428,99.04169816575411
Nong Chang Khuen,หนองช้างคืน,TH510104,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.654028821804168,99.01282713772785
Pratu Pa,ประตูป่า,TH510105,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.620969910863426,98.98980230026584
Rim Ping,ริมปิง,TH510106,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.592872221609312,98.97199487329844
Ton Thong,ต้นธง,TH510107,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.561317869878568,98.96741514180884
Ban Paen,บ้านแป้น,TH510108,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.524686509445633,98.9588744804524
Mueang Chi,เหมืองจี้,TH510109,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.46755435813912,98.97168438226007
Pa Sak,ป่าสัก,TH510110,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.519017077987762,99.03014998105631
Wiang Yong,เวียงยอง,TH510111,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.55991937185088,99.01132835573803
Ban Klang,บ้านกลาง,TH510112,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.574852030274396,99.06042134106866
Makhuea Chae,มะเขือแจ้,TH510113,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.589982515698917,99.12594048473461
Si Bua Ban,ศรีบัวบาน,TH510116,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.512325541845136,99.10811587300184
Nong Nam,หนองหนาม,TH510117,Mueang Lamphun,เมืองลำพูน,TH5101,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.50356779348891,98.98684391533563
Tha Pla Duk,ทาปลาดุก,TH510201,Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.512778696401238,99.23837352915082
Tha Sopsao,ทาสบเส้า,TH510202,Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.416911959470838,99.13504958958433
Tha Kat,ทากาศ,TH510203,Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.342296265430406,99.05236291393584
Tha Khum Ngoen,ทาขุมเงิน,TH510204,Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.36588344153594,98.96420369760699
Tha Thung Luang,ทาทุ่งหลวง,TH510205,Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.437816041539808,99.03027403479969
Tha Mae Lop,ทาแม่ลอบ,TH510206,Mae Tha,แม่ทา,TH5102,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.23859438957417,98.9838215699455
Ban Hong,บ้านโฮ่ง,TH510301,Ban Hong,บ้านโฮ่ง,TH5103,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.308300787410833,98.81434532633769
Pa Phlu,ป่าพลู,TH510302,Ban Hong,บ้านโฮ่ง,TH5103,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.21060868868531,98.86661548082702
Lao Yao,เหล่ายาว,TH510303,Ban Hong,บ้านโฮ่ง,TH5103,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.358993449060918,98.79367572052809
Si Tia,ศรีเตี้ย,TH510304,Ban Hong,บ้านโฮ่ง,TH5103,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.37816892203569,98.74821238698276
Nong Pla Sawai,หนองปลาสะวาย,TH510305,Ban Hong,บ้านโฮ่ง,TH5103,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.315823485461053,98.72359341919444
Li,ลี้,TH510401,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.789660862507834,98.98369806789529
Mae Tuen,แม่ตืน,TH510402,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.959966465118704,98.91408129569463
Na Sai,นาทราย,TH510403,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.686592190916524,98.97038438096828
Dong Dam,ดงดำ,TH510404,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.74378424779263,99.06303378903542
Ko,ก้อ,TH510405,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.604354172286943,98.78277703159591
Mae Lan,แม่ลาน,TH510406,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.753620892268618,98.82542629275109
Pa Phai,ป่าไผ่,TH510408,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.85787670265967,98.92834090636417
Si Wichai,ศรีวิชัย,TH510409,Li,ลี้,TH5104,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,18.079099135834507,98.89737977927209
Thung Hua Chang,ทุ่งหัวช้าง,TH510501,Thung Hua Chang,ทุ่งหัวช้าง,TH5105,Lamphun,ลำพูน,TH51,Thailand,ประเทศไทย,TH,17.983354568519413,99.0482775106962
