ADM2_EN,ADM2_TH,ADM2_PCODE,ADM1_EN,ADM1_TH,ADM1_PCODE,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION9,REGION6,DESTINATION
Thalang,ถลาง,TH8303,Phuket,ภูเก็ต,TH83,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Mueang Surat Thani,เมืองสุราษฎร์ธาน,TH8401,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Kanchanadit,กาญจนดิษฐ์,TH8402,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Don Sak,ดอนสัก,TH8403,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Ko Samui,เกาะสมุย,TH8404,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Ko Pha-Ngan,เกาะพะงัน,TH8405,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Chaiya,ไชยา,TH8406,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Tha Chana,ท่าชนะ,TH8407,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Khiri Rat Nikhom,คีรีรัฐนิคม,TH8408,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Ban Ta Khun,บ้านตาขุน,TH8409,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Phanom,พนม,TH8410,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Tha Chang,ท่าฉาง,TH8411,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Ban Na San,บ้านนาสาร,TH8412,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Ban Na Doem,บ้านนาเดิม,TH8413,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Khian Sa,เคียนซา,TH8414,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Wiang Sa,เวียงสระ,TH8415,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Phrasaeng,พระแสง,TH8416,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Phunphin,พุนพิน,TH8417,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Chai Buri,ชัยบุรี,TH8418,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Vibhavadi,วิภาวดี,TH8419,Surat Thani,สุราษฎร์ธานี,TH84,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองหลัก
Mueang Ranong,เมืองระนอง,TH8501,Ranong,ระนอง,TH85,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
La-Un,ละอุ่น,TH8502,Ranong,ระนอง,TH85,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Kapoe,กะเปอร์,TH8503,Ranong,ระนอง,TH85,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Kra Buri,กระบุรี,TH8504,Ranong,ระนอง,TH85,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Suk Samran,สุขสำราญ,TH8505,Ranong,ระนอง,TH85,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Mueang Chumphon,เมืองชุมพร,TH8601,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Tha Sae,ท่าแซะ,TH8602,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Pathio,ปะทิว,TH8603,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Lang Suan,หลังสวน,TH8604,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Lamae,ละแม,TH8605,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
Phato,พะโต๊ะ,TH8606,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,ภาคใต้ตอนบน,ภาคใต้,เมืองรอง
